timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797075663,2073,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797075663,0,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797076664,4435,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797076664,1147363,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797077665,13222,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797077665,1181274,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797078666,4909,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797078666,1157730,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797079667,14010,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797079667,1115839,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797080668,15345,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797080668,1119701,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797081669,4603,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797081669,1162319,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797082670,14758,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797082670,1155861,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797083670,15473,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797083670,1149925,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797084671,5203,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797084671,1180562,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797085672,13677,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797085673,1037511,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797086673,15953,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797086673,1175171,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797087674,9455,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797087674,1093692,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
