2073,4435,13222,4909,14010,15345,4603,14758,15473,5203,13677,15953,9455,18872,18193,7320,18333,13054,6322,6033,5628,8226,5944,4593,5540,9090,12299,10533,12447,12271,8791,11697,9116,11477,3212,11290,1400,16802,11901,10039,7692,7265,6794,9580,11481,7304,7938,3851,8724,16111,13810,14901,14471,11615,14051,19947,10796,19267,21132,4509,13020,17686,14054,16288,14819,8938,4491,9491,8458,10928,10190,6518,6612,12500,7988,5812,6779,7377,9234,7910,3212,6420,10148,5014,10185,6142,7532,8776,9224,5782,7601,10026,11185,9821,7780,11214,10089,17955,9597,16978,18626,7310,13874,14395,6806,17079,15887,7547,16990,16421,14267,10955
0,1147363,1181274,1157730,1115839,1119701,1162319,1155861,1149925,1180562,1037511,1175171,1093692,1129359,1108286,1086104,1128303,1176837,1070325,1176415,1016612,1105229,1131168,1125750,859666,1009777,1063733,1000805,891192,1100386,1074598,793570,803884,929144,311198,650522,185996,907173,858244,714494,826007,674787,808692,798323,1044167,1069206,629823,240195,765593,797557,1082220,949505,574206,754463,745971,1014223,879143,875341,1029286,157972,453734,782486,833443,899769,1057348,764609,665807,1026949,503512,814762,1069834,629277,609911,1104215,766296,312787,563365,674521,863645,332615,368704,483718,1161835,325217,933854,610584,403217,444520,1237522,972398,397774,861619,1073760,991603,578818,781471,571741,895607,1124779,792770,1043956,923779,588463,881861,987691,1169461,899354,708425,1035923,960579,1019897,1069669
